system:index,CO_density,City,date,.geo
0000000000000000005a_16,0.03990342247664036,Delhi,01-04-2020,
0000000000000000005a_17,0.041765152501111596,Delhi,01-05-2020,
0000000000000000005a_18,0.03953621810656864,Delhi,01-06-2020,
0000000000000000005a_19,0.03818097676731702,Delhi,01-07-2020,
0000000000000000005a_20,0.03540991395546696,Delhi,01-08-2020,
0000000000000000005a_21,0.038861769214870084,Delhi,01-09-2020,
0000000000000000005a_22,0.04292239723671505,Delhi,01-10-2020,
00000000000000000118_0,0.04230956587870479,Delhi,01-12-2018,
00000000000000000118_1,0.04247989653368445,Delhi,01-01-2019,
00000000000000000118_2,0.04032468664662165,Delhi,01-02-2019,
00000000000000000118_3,0.03935481237096874,Delhi,01-03-2019,
00000000000000000118_4,0.043728807474602276,Delhi,01-04-2019,
00000000000000000118_5,0.042974473128043686,Delhi,01-05-2019,
00000000000000000118_6,0.0424140958644023,Delhi,01-06-2019,
00000000000000000118_7,0.035931746098605055,Delhi,01-07-2019,
00000000000000000118_8,0.03718953377598761,Delhi,01-08-2019,
00000000000000000118_9,0.03707985775034412,Delhi,01-09-2019,
00000000000000000118_10,0.042656877728350126,Delhi,01-10-2019,
00000000000000000118_11,0.045334211313972465,Delhi,01-11-2019,
00000000000000000118_12,0.04454844932256273,Delhi,01-12-2019,
00000000000000000118_13,0.040739286805297766,Delhi,01-01-2020,
00000000000000000118_14,0.0428379844986773,Delhi,01-02-2020,
00000000000000000118_15,0.03948526726277265,Delhi,01-03-2020,
00000000000000000118_16,0.03904379124962619,Delhi,01-04-2020,
00000000000000000118_17,0.041828401828477774,Delhi,01-05-2020,
00000000000000000118_18,0.03923572525213982,Delhi,01-06-2020,
00000000000000000118_19,0.03720908451556883,Delhi,01-07-2020,
00000000000000000118_20,0.03529712871568844,Delhi,01-08-2020,
00000000000000000118_21,0.038919311876960724,Delhi,01-09-2020,
00000000000000000118_22,0.042677721618863636,Delhi,01-10-2020,
000000000000000000cf_0,0.04037533245341907,Delhi,01-12-2018,
000000000000000000cf_1,0.04161618775882616,Delhi,01-01-2019,
000000000000000000cf_2,0.03984634713788037,Delhi,01-02-2019,
000000000000000000cf_3,0.03827786064214892,Delhi,01-03-2019,
000000000000000000cf_4,0.04103222275622614,Delhi,01-04-2019,
000000000000000000cf_5,0.04226131769093996,Delhi,01-05-2019,
000000000000000000cf_6,0.04026108232943333,Delhi,01-06-2019,
000000000000000000cf_7,0.035218077055934834,Delhi,01-07-2019,
000000000000000000cf_8,0.03665212201536841,Delhi,01-08-2019,
000000000000000000cf_9,0.03807840554251328,Delhi,01-09-2019,
000000000000000000cf_10,0.04005699624074242,Delhi,01-10-2019,
000000000000000000cf_11,0.0438357754468567,Delhi,01-11-2019,
000000000000000000cf_12,0.040212337153682505,Delhi,01-12-2019,
000000000000000000cf_13,0.04037391009328551,Delhi,01-01-2020,
000000000000000000cf_14,0.04338763010655971,Delhi,01-02-2020,
000000000000000000cf_15,0.03872691579509389,Delhi,01-03-2020,
